model,prompt_version,match_rate_original,match_rate_corrected,match_rate_type,match_rate_total
gpt-3.5-turbo,v1_original.txt,0.48,0.48,0.56,0.5066666666666667
gpt-3.5-turbo,v2.1_with_example.txt,0.4,0.4666666666666667,0.5666666666666667,0.4777777777777778
gpt-3.5-turbo,v2.4_less_verbose.txt,0.5217391304347826,0.43478260869565216,0.5217391304347826,0.4927536231884058
gpt-3.5-turbo,v2.5_combined.txt,0.4642857142857143,0.4642857142857143,0.6071428571428571,0.5119047619047619
gpt-4,v1_original.txt,0.4166666666666667,0.4166666666666667,0.7083333333333334,0.5138888888888888
gpt-4,v2.1_with_example.txt,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.5454545454545454
gpt-4,v2.4_less_verbose.txt,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.5454545454545454
gpt-4,v2.5_combined.txt,0.4583333333333333,0.4583333333333333,0.7083333333333334,0.5416666666666666
gpt-4.1,v1_original.txt,0.4,0.4,0.64,0.48
gpt-4.1,v2.1_with_example.txt,0.36,0.36,0.64,0.4533333333333333
gpt-4.1,v2.4_less_verbose.txt,0.36,0.36,0.6,0.44
gpt-4.1,v2.5_combined.txt,0.5,0.5,0.6818181818181818,0.5606060606060606
